ID,Author,State,BlockNumberChoices,Scores,AuthorTokenBalance
0x9238864aae86f3f7430670dab6c2b4afd793ddcdabe8e2dffe0964d41a3919aa,0x79C4213a328E3B4F1D87b4953C14759399dB25E2,closed,13576112,"['Yes', 'No ']","[23230.99530735927, 211247.15474913275]",0.0
QmP3H8WGLiWTP2WumKyrq8yA1xz1XbwkT8brdGYePuAcES,0x9B68c14e936104e9a7a24c712BEecdc220002984,closed,13482920,"['Add 1bps fee tier (1 tick)', 'No change']","[16362714.559500815, 6.304218147646063]",11.568647808654465
QmRKyYeGRFAhBnsqRXHVVwpmmVWxWdybUTVqLM7c52EonT,0x7f416e7a586d45ed2A4e77877E1d253f48105491,closed,13441913,"['Yes, should move', 'No, should not move']","[2166.8036132451844, 2723933.8182219197]",0.0
QmcpJ8Qm9V4LfK5ncpPvGpCEkzt2uV9jahueX2CR9YLGVv,0xF569914d4E46cBD6A91fDE6c8850a079604A271b,closed,13245634,"['Yes, Bring V3 to AVAX', 'No, V3 Should Stay on ETH & L2s']","[10029.32650454058, 1]",7740.906716963125
QmYeNLn1x2AxfzrU2G4nkxDRBDju9f4EF2dzs2xAqBoK31,0xFFc14dF86148C538e149283d33FE0ac141e755F1,closed,13102000,"['No support', '25k - 50k (37.5k $UNI loan)', '50k - 100k (75k $UNI loan)', '100k - 200k (150k $UNI loan)', '200k - 400k (300k $UNI loan)', '400k - 800k (600k $UNI loan)', '800k+ (1M $UNI loan)']","[62.49051676090981, 7.86405960998288, 84.99412162306304, 152.5781797539966, 1.9893802828477825, 3.1, 212020.4631004393]",1157.84314412
QmWbgzHJ8nK2TDaj6LF6BxAMPahy97dMmbbU5kRBw1QkXt,0x070341aA5Ed571f0FB2c4a5641409B1A46b4961b,closed,12973703,"['Upgrade to Governor Bravo', 'Do not upgrade to Governor Bravo']","[19647554.394415952, 862.9909052313448]",0.0
QmUMGd8r249PEEbVkF8z7ftEyvRBhtFA3T3oHMxhSJcFJ9,0x10D6d2e343281D388291A3e02f3293AaEdA67178,closed,12919988,"['Yes', 'No']","[13765334.897324722, 1892.8484130526317]",6.763489161338841
QmScNLeajiF2hQh1z9DYqTFKGgrRhHwrHisV4ynmDEQwxH,0x070341aA5Ed571f0FB2c4a5641409B1A46b4961b,closed,12904523,"['Upgrade to Governor Bravo', 'Do not upgrade to Governor Bravo']","[8358374.097954816, 378.82371370807414]",0.0
QmRKpArENVfj7bUaXuEj2QUqZCB5ZJGc9VDmNvyfTKnAKf,0xbdac5657eDd13F47C3DD924eAa36Cf1Ec49672cc,closed,12902600,"['Approve', 'Deny']","[233747.10421432825, 3]",0.0
QmVnsMXvSG84x3u2iYZ3nGWeXU4pRcfuKWwXnyjpD9j6To,0xbeA9419E51BbD1B7F564c9F0891187A5822974AB,closed,12859033,"['Yes, lets do it!', 'No']","[220448.2715600979, 285.4430747614893]",1000.0
